"COUNTRY","Country","AGE","Age","INTENSITY","Intensity","SEX","Sex","ISC11_LEVEL","Level of education","ORIENTATION","Category of education","INDICATOR","Indicator ","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,37.3,,
"AUS","Australia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,36.8,,
"AUS","Australia","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,37.8,,
"AUT","Austria","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,16.1,,
"AUT","Austria","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,16.2,,
"AUT","Austria","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,16,,
"BEL","Belgium","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,17.7,,
"BEL","Belgium","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,17.7,,
"BEL","Belgium","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,17.6,,
"CZE","Czech Republic","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","_T","Total","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,4,"x","Data included in another category"
"CZE","Czech Republic","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","F","Women","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,4.1,"x","Data included in another category"
"CZE","Czech Republic","Y0T2_OECD","0 to 2 years","_T","Full- and part-time","M","Men","_T","All ISCED levels","_T","All educational programmes","ENRL_RATE_AGE","Enrolment rate by age","2014","2014","PC","Percentage","0","Units",,,3.9,"x","Data included in another category"
