ctry,country,year,latest_year,oecd,lac,eprc_v1,eprc_v2,eprc_v3,epr_v1,epr_v3,epc,ept_v1,ept_v3
AUS,Australia,1985,0,1,0,1.17,,,1.17,,,0.88,
AUS,Australia,1986,0,1,0,1.17,,,1.17,,,0.88,
AUS,Australia,1987,0,1,0,1.17,,,1.17,,,0.88,
AUS,Australia,1988,0,1,0,1.17,,,1.17,,,0.88,
AUS,Australia,1989,0,1,0,1.17,,,1.17,,,0.88,
AUS,Australia,1990,0,1,0,1.17,,,1.17,,,0.88,
AUS,Australia,1991,0,1,0,1.17,,,1.17,,,0.88,
AUS,Australia,1992,0,1,0,1.17,,,1.17,,,0.88,
AUS,Australia,1993,0,1,0,1.17,,,1.17,,,0.88,
AUS,Australia,1994,0,1,0,1.17,,,1.17,,,0.88,
AUS,Australia,1995,0,1,0,1.17,,,1.17,,,0.88,
AUS,Australia,1996,0,1,0,1.17,,,1.17,,,0.88,
AUS,Australia,1997,0,1,0,1.42,,,1.42,,,0.88,
AUS,Australia,1998,0,1,0,1.42,1.83,,1.42,,2.88,0.88,
AUS,Australia,1999,0,1,0,1.42,1.83,,1.42,,2.88,0.88,
AUS,Australia,2000,0,1,0,1.42,1.83,,1.42,,2.88,0.88,
AUS,Australia,2001,0,1,0,1.42,1.83,,1.42,,2.88,0.88,
AUS,Australia,2002,0,1,0,1.42,1.83,,1.42,,2.88,0.88,
AUS,Australia,2003,0,1,0,1.42,1.83,,1.42,,2.88,0.88,
AUS,Australia,2004,0,1,0,1.42,1.83,,1.42,,2.88,0.88,
AUS,Australia,2005,0,1,0,1.42,1.83,,1.42,,2.88,0.88,
AUS,Australia,2006,0,1,0,1.42,1.83,,1.42,,2.88,0.88,
AUS,Australia,2007,0,1,0,1.17,1.65,,1.17,,2.88,0.88,
AUS,Australia,2008,0,1,0,1.17,1.65,1.63,1.17,1.13,2.88,0.88,0.79
AUS,Australia,2009,0,1,0,1.17,1.65,1.63,1.17,1.13,2.88,0.88,0.79
AUS,Australia,2010,0,1,0,1.67,2.01,1.99,1.67,1.63,2.88,0.88,1.04
AUS,Australia,2011,0,1,0,1.67,2.01,1.99,1.67,1.63,2.88,0.88,1.04
AUS,Australia,2012,0,1,0,1.67,2.01,1.99,1.67,1.63,2.88,0.88,1.04
AUS,Australia,2013,1,1,0,1.67,2.01,1.94,1.67,1.57,2.88,0.88,1.04
AUT,Austria,1985,0,1,0,2.75,,,2.75,,,1.31,
AUT,Austria,1986,0,1,0,2.75,,,2.75,,,1.31,
AUT,Austria,1987,0,1,0,2.75,,,2.75,,,1.31,
AUT,Austria,1988,0,1,0,2.75,,,2.75,,,1.31,
AUT,Austria,1989,0,1,0,2.75,,,2.75,,,1.31,
AUT,Austria,1990,0,1,0,2.75,,,2.75,,,1.31,
AUT,Austria,1991,0,1,0,2.75,,,2.75,,,1.31,
AUT,Austria,1992,0,1,0,2.75,,,2.75,,,1.31,
AUT,Austria,1993,0,1,0,2.75,,,2.75,,,1.31,
AUT,Austria,1994,0,1,0,2.75,,,2.75,,,1.31,
AUT,Austria,1995,0,1,0,2.75,,,2.75,,,1.31,
AUT,Austria,1996,0,1,0,2.75,,,2.75,,,1.31,
AUT,Austria,1997,0,1,0,2.75,,,2.75,,,1.31,
AUT,Austria,1998,0,1,0,2.75,2.89,,2.75,,3.25,1.31,
AUT,Austria,1999,0,1,0,2.75,2.89,,2.75,,3.25,1.31,
AUT,Austria,2000,0,1,0,2.75,2.89,,2.75,,3.25,1.31,
AUT,Austria,2001,0,1,0,2.75,2.89,,2.75,,3.25,1.31,
AUT,Austria,2002,0,1,0,2.75,2.89,,2.75,,3.25,1.31,
AUT,Austria,2003,0,1,0,2.37,2.62,,2.37,,3.25,1.31,
AUT,Austria,2004,0,1,0,2.37,2.62,,2.37,,3.25,1.31,
AUT,Austria,2005,0,1,0,2.37,2.62,,2.37,,3.25,1.31,
AUT,Austria,2006,0,1,0,2.37,2.62,,2.37,,3.25,1.31,
AUT,Austria,2007,0,1,0,2.37,2.62,,2.37,,3.25,1.31,
AUT,Austria,2008,0,1,0,2.37,2.62,2.44,2.37,2.12,3.25,1.31,2.17
AUT,Austria,2009,0,1,0,2.37,2.62,2.44,2.37,2.12,3.25,1.31,2.17
AUT,Austria,2010,0,1,0,2.37,2.62,2.44,2.37,2.12,3.25,1.31,2.17
AUT,Austria,2011,0,1,0,2.37,2.62,2.44,2.37,2.12,3.25,1.31,2.17
AUT,Austria,2012,0,1,0,2.37,2.62,2.44,2.37,2.12,3.25,1.31,2.17
AUT,Austria,2013,1,1,0,2.37,2.62,2.44,2.37,2.12,3.25,1.31,2.17
BEL,Belgium,1985,0,1,0,1.85,,,1.85,,,4.63,
